Address,City,State,Zip Code,Latitude,Longitude
6101 Gateway West Blvd,El Paso,Texas,79925,31.783497,-106.410297
1201 N. Loop 1604 East,San Antonio,Texas,78232,29.611904,-98.474805
250 West Highway 67,Duncanville,Texas,75137,32.620946,-96.910279
1225 State Hwy 276,Rockwall,Texas,75032,32.9087304,-96.4454985
835 North 3050 East,St. George,Utah,84790-9041,37.122515,-113.523381
3656 Wall Avenue,Ogden,Utah,84405-7101,41.197413,-111.9793725
3747 South 2700 West,West Valley,Utah,84119-4903,40.6903769,-111.9541263
1818 South 300 West,Salt Lake City,Utah,84115-1805,40.730657,-111.90294
648 East 800 South,Orem,Utah,84097-6528,40.2822443,-111.6798494
11100 S. Auto Mall Drive,Sandy,Utah,84070-4171,40.5506675,-111.8934445
198 North 1200 East,Lehi,Utah,84043-2294,40.389719,-111.8229955
573 West 100 North,West Bountiful,Utah,84010-7018,40.889379,-111.895108
5201 South Intermountain Drive,Murray,Utah,84107,40.6577119,-111.889873
218 Lower Mountain View Drive,Colchester,Vermont,05446-5830,44.5034,-73.173988
12121 Jefferson Avenue,Newport News,Virginia,23602-6916,37.106044,-76.496559
850 Glenrock Road,Norfolk,Virginia,23502-3702,36.851561,-76.199681
3700 Price Club Boulevard,Midlothian,Virginia,23112-3371,37.438778,-77.587539
9650 West Broad Street,Glen Allen,Virginia,23060-4115,37.642294,-77.561159
1830 Reservoir Street,Harrisonburg,Virginia,22801-8742,38.428597,-78.85613
251 Front Royal Pike,Winchester,Virginia,22602-7319,39.157827,-78.157929
1200 South Fern Street,Arlington,Virginia,22202-2862,38.8624735,-77.0567423
2700 Potomac Mills Circle - Ste 200,Woodbridge,Virginia,22192-4653,38.642245,-77.294447
7373 Boston Boulevard,Springfield,Virginia,22153-2805,38.739883,-77.197301
4725 West Ox Road,Fairfax,Virginia,22030-6101,38.849315,-77.371784
1300 Edwards Ferry Road,Leesburg,Virginia,20176-3355,39.115223,-77.533198
21398 Price/Cascades Plaza,Sterling,Virginia,20164-6607,39.023821,-77.401854
14390 Chantilly Crossing Lane,Chantilly,Virginia,20151-2117,38.8951069,-77.4430209
10701 Sudley Manor Drive,Manassas,Virginia,20109-2845,38.783572,-77.5164269
3102 Plank Road #600,Fredericksburg,Virginia,22407,38.293479,-77.515701
8629 120th Avenue NE,Kirkland,Washington,98033-5865,47.681717,-122.182086
301 Fifth Street,Clarkston,Washington,99403-1860,46.4229672,-117.0442722
8505A W. Gage Blvd,Kennewick,Washington,99336-8120,46.225654,-119.235246
5601 East Sprague Avenue,Spokane,Washington,99212-0826,47.658358,-117.332852
7619 North Division Street,Spokane,Washington,99208-5613,47.724927,-117.411489
2310 Longfibre Rd,Union Gap,Washington,98903-1513,46.562354,-120.499306
375 Highline Drive South,East Wenatchee,Washington,98802-5344,47.401812,-120.280459
6720 NE 84th Street,Vancouver,Washington,98665-2016,45.684942,-122.604718
1470 Marvin Rd NE,Lacey,Washington,98516-3870,47.05934,-122.760723
5500 Littlerock Road,Tumwater,Washington,98512-7363,46.996336,-122.916699
3900 20th St. East,Fife,Washington,98424-1818,47.238297,-122.373955
2219 South 37th Street,Tacoma,Washington,98409-7473,47.224683,-122.469182
10000 Mickelberry Rd. NW,Silverdale,Washington,98383-8302,47.656571,-122.680673
955 West Washington St,Sequim,Washington,98382-3266,48.0770692,-123.1254206
955 West Washington St,Sequim,Washington,98382-3266,48.0770692,-123.1254206
1201 39th SW,Puyallup,Washington,98373-3803,47.156472,-122.308125
16616 Twin Lakes Ave,Marysville,Washington,98271-4701,48.147561,-122.191237
1725 S. Burlington Blvd,Burlington,Washington,98233-3223,48.453882,-122.338038
4299 Guide Meridian Street,Bellingham,Washington,98226-6475,48.7974507,-122.4882889
10200 19th Avenue SE,Everett,Washington,98208-4256,47.903556,-122.209275
400 Costco Drive Suite 150,Tukwila,Washington,98188-4808,47.445595,-122.24834
4401 4th Avenue South,Seattle,Washington,98134-2389,47.5649224,-122.3304533
1175 North 205th Street,Seattle,Washington,98133-3206,47.77567,-122.344819
24008 Snohomish-Woodinville Rd SE,Woodinville,Washington,98072-9743,47.779015,-122.1484548
19105 Highway 99,Lynnwood,Washington,98036-5228,47.82549,-122.309915
1801 10th Avenue NW,Issaquah,Washington,98027-5384,47.5512165,-122.0528913
35100 Enchanted Parkway South,Federal Way,Washington,98003-8314,47.2869797,-122.3135201
19610 SE 1st St,Vancouver,Washington,98607,45.6212994,-122.4591346
10990 Harbor Hill Dr,Gig Harbor,Washington,98335,47.3577482,-122.6038876
27520 Covington Way SE,Covington,Washington,98042,47.354838,-122.121185
2150 Deming Way,Middleton,Wisconsin,53562-5507,43.100195,-89.522751
950 Port Washington Rd,Grafton,Wisconsin,53024-9201,43.3246907,-87.9216153
